,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
414,2019-10-13,23000.0,23000.0,23000.0,23000.0,1379998505000,59999935,928925,1000.0,23000.0,1398-07-21
413,2019-10-14,24150.0,24150.0,24150.0,24150.0,1354042200,56068,977,23000.0,24150.0,1398-07-22
412,2019-10-15,25357.0,25357.0,25357.0,25357.0,3399334063,134059,2194,24150.0,25357.0,1398-07-23
411,2019-10-16,26624.0,26624.0,26624.0,26624.0,4905951232,184268,2993,25357.0,26624.0,1398-07-24
410,2019-10-20,27955.0,27955.0,27955.0,27955.0,17752599110,635042,10105,26624.0,27955.0,1398-07-28
409,2019-10-21,29352.0,29352.0,29352.0,29352.0,42623418744,1452147,21406,27955.0,29352.0,1398-07-29
408,2019-10-22,30819.0,30819.0,30819.0,30819.0,30198860082,979878,15183,29352.0,30819.0,1398-07-30
407,2019-10-23,32359.0,32359.0,29279.0,32279.0,634953022735,19670516,237073,30819.0,32359.0,1398-08-01
406,2019-10-26,32400.0,32400.0,30666.0,31304.0,93062466116,2972837,22317,32279.0,30666.0,1398-08-04
405,2019-10-28,29739.0,29739.0,29739.0,29739.0,21029576982,707138,1920,31304.0,29739.0,1398-08-06
404,2019-10-30,29741.0,30888.0,28253.0,29871.0,343273104243,11491938,110207,29739.0,30287.0,1398-08-08
403,2019-11-02,30150.0,31021.0,28403.0,29576.0,209600356114,7086915,56922,29871.0,29340.0,1398-08-11
402,2019-11-03,29011.0,29974.0,28098.0,29228.0,126188134448,4317361,33278,29576.0,28900.0,1398-08-12
401,2019-11-04,28880.0,29500.0,28015.0,28523.0,92017040597,3226010,22851,29228.0,28160.0,1398-08-13
400,2019-11-05,28025.0,29949.0,27510.0,28991.0,136062520711,4693232,27028,28523.0,29949.0,1398-08-14
399,2019-11-09,30440.0,30440.0,30440.0,30440.0,35290187840,1159336,9638,28991.0,30440.0,1398-08-18
398,2019-11-10,30701.0,31000.0,28918.0,30295.0,130215952949,4298200,24142,30440.0,30510.0,1398-08-19
397,2019-11-11,30000.0,31000.0,29701.0,30513.0,72303908801,2369573,15228,30295.0,30222.0,1398-08-20
396,2019-11-12,30897.0,30997.0,30067.0,30276.0,75942945300,2508373,13539,30513.0,30082.0,1398-08-21
395,2019-11-13,30200.0,30200.0,29278.0,29518.0,59794813443,2025704,12327,30276.0,29421.0,1398-08-22
394,2019-11-16,29100.0,29660.0,28400.0,28921.0,61303492884,2119687,10429,29518.0,28600.0,1398-08-25
393,2019-11-17,27652.0,27750.0,27475.0,27494.0,94699584838,3444365,5955,28921.0,27482.0,1398-08-26
392,2019-11-18,27100.0,28868.0,27100.0,28623.0,64879231318,2266714,6210,27494.0,28868.0,1398-08-27
391,2019-11-19,28980.0,29999.0,28980.0,29552.0,60389291322,2043497,7471,28623.0,29241.0,1398-08-28
390,2019-11-20,29530.0,29530.0,28734.0,28996.0,42308264854,1459131,8248,29552.0,29010.0,1398-08-29
389,2019-11-23,28556.0,28850.0,28271.0,28436.0,36532264281,1284734,8437,28996.0,28323.0,1398-09-02
388,2019-11-24,28252.0,29450.0,27663.0,28304.0,63239884638,2234313,10771,28436.0,28804.0,1398-09-03
387,2019-11-25,28999.0,29719.0,28300.0,29349.0,81255152087,2768566,10452,28304.0,29719.0,1398-09-04
386,2019-11-26,30180.0,30815.0,29500.0,30306.0,114643699568,3782910,11182,29349.0,30667.0,1398-09-05
385,2019-11-27,30700.0,31225.0,28800.0,30487.0,77753318210,2550375,9417,30306.0,30155.0,1398-09-06
384,2019-11-30,30480.0,31300.0,29501.0,30601.0,112539497834,3677660,10937,30487.0,30860.0,1398-09-09
383,2019-12-01,30601.0,32130.0,30601.0,31925.0,122094364982,3824471,10352,30601.0,32000.0,1398-09-10
382,2019-12-02,32132.0,33250.0,30720.0,32082.0,126828373334,3953233,9703,31925.0,31550.0,1398-09-11
381,2019-12-03,31001.0,32400.0,30751.0,31428.0,88064311982,2802123,8218,32082.0,31223.0,1398-09-12
380,2019-12-04,31100.0,32090.0,30500.0,31198.0,88039388316,2821917,8328,31428.0,31001.0,1398-09-13
379,2019-12-07,31000.0,31800.0,30400.0,30948.0,84482566598,2729830,9660,31198.0,30571.0,1398-09-16
378,2019-12-08,30504.0,31320.0,30000.0,30695.0,82737160650,2695440,10039,30948.0,30653.0,1398-09-17
377,2019-12-09,30999.0,31999.0,30990.0,31335.0,103163752504,3292253,9148,30695.0,31666.0,1398-09-18
376,2019-12-10,32000.0,32300.0,30900.0,31770.0,100663989129,3168492,7333,31335.0,31000.0,1398-09-19
375,2019-12-11,30900.0,31300.0,30261.0,30920.0,58766160345,1900568,6021,31770.0,30832.0,1398-09-20
374,2019-12-14,30832.0,31700.0,30832.0,31320.0,52470771019,1675326,7444,30920.0,31375.0,1398-09-23
373,2019-12-15,31375.0,31375.0,30600.0,30994.0,74599060559,2406904,7582,31320.0,30899.0,1398-09-24
372,2019-12-16,30350.0,31000.0,30350.0,30706.0,59487590637,1937335,7400,30994.0,30800.0,1398-09-25
371,2019-12-17,30631.0,31449.0,30630.0,30911.0,70817342481,2291003,7317,30706.0,30830.0,1398-09-26
