,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
227,2020-08-05,6300.0,6300.0,6300.0,6300.0,529200000000,84000000,5415548,1000.0,6300.0,1399-05-15
226,2020-08-09,6615.0,6615.0,6615.0,6305.0,891146340,134716,8740,6300.0,6615.0,1399-05-19
225,2020-08-10,6620.0,6620.0,6620.0,6446.0,23529260780,3554269,13133,6305.0,6620.0,1399-05-20
224,2020-08-11,6768.0,6768.0,6768.0,6452.0,972236736,143652,9425,6446.0,6768.0,1399-05-21
223,2020-08-12,6774.0,6774.0,6774.0,6456.0,691916682,102143,6694,6452.0,6774.0,1399-05-22
222,2020-08-15,6778.0,6778.0,6778.0,6461.0,842776520,124340,8111,6456.0,6778.0,1399-05-25
221,2020-08-16,6784.0,6784.0,6784.0,6466.0,759658752,111978,7301,6461.0,6784.0,1399-05-26
220,2020-08-17,6789.0,6789.0,6789.0,6473.0,1209867690,178210,11632,6466.0,6789.0,1399-05-27
219,2020-08-18,6796.0,6796.0,6796.0,6481.0,1243627224,182994,11921,6473.0,6796.0,1399-05-28
218,2020-08-19,6805.0,6805.0,6805.0,6486.0,845534860,124252,8072,6481.0,6805.0,1399-05-29
217,2020-08-22,6810.0,6810.0,6810.0,6491.0,844487670,124007,7632,6486.0,6810.0,1399-06-01
216,2020-09-01,12468.0,13091.0,12468.0,12469.0,95824338416,7349617,72293,6234.0,13091.0,1399-06-11
215,2020-09-02,13092.0,13092.0,13092.0,12544.0,12582485544,961082,56784,12469.0,13092.0,1399-06-12
214,2020-09-05,13171.0,13171.0,13171.0,12666.0,10253004463,778453,49588,12544.0,13171.0,1399-06-15
213,2020-09-06,13299.0,13299.0,13299.0,12792.0,10572359226,794974,39972,12666.0,13299.0,1399-06-16
212,2020-09-07,13431.0,13431.0,13431.0,13067.0,23009559408,1713168,56426,12792.0,13431.0,1399-06-17
211,2020-09-08,13720.0,13720.0,13720.0,13280.0,17797186120,1297171,57512,13067.0,13720.0,1399-06-18
210,2020-09-09,13944.0,13944.0,13944.0,13421.0,11838107400,848975,47277,13280.0,13944.0,1399-06-19
209,2020-09-20,14092.0,14092.0,14092.0,13598.0,13886876848,985444,63237,13421.0,14092.0,1399-06-30
208,2020-09-21,14277.0,14277.0,14277.0,13787.0,14818997751,1037963,53921,13598.0,14277.0,1399-06-31
207,2020-09-22,14476.0,14476.0,14476.0,13912.0,9755796204,673929,40210,13787.0,14476.0,1399-07-01
206,2020-09-23,14607.0,14607.0,14607.0,14052.0,10930564170,748310,44511,13912.0,14607.0,1399-07-02
205,2020-09-26,14754.0,14754.0,14754.0,14187.0,10114412898,685537,42972,14052.0,14754.0,1399-07-05
204,2020-09-27,14896.0,14896.0,14896.0,14387.0,14939943200,1002950,37434,14187.0,14896.0,1399-07-06
